;;;;;;;;;;;;;;;;;;;
Satış Performans Raporu;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Veri parametreleri:;;;Başlangıç Tarihi: 01.12.2024 00:00:00;;;;;;;;;;;;;;;;
;;;Bitiş Tarihi: 28.02.2025 00:00:00;;;;;;;;;;;;;;;;
Filtre:;;;"Cari Hesap Eşittir ""TUSS DEKORASYON TEKSTİL SANAYİ VE TİCARET  ANONİM ŞİRKETİ""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Fatura Tarihi.Yıl;;Malzeme Grubu;;;Kategori;;Malzeme Grubu;Toplam;;;;;;;;;;;
;;;;;;;;Miktar;;;;Satış Tutarı;;;;;;Birim Fiyat;
;;;;;;;;Miktar;;;;Satış Tutarı;;;;;;Birim Fiyat;
;;;;;;;;Satış Miktar;İade Miktar;Net Satış Miktar;Net Satış Miktarı (Metre);Kdv Li Satış Tutar;Kdv Li Satış Dövizli Tutar;Kdv Li İade Tutar;Kdv Li İade Dövizli Tutar;Kdv Li Net Satış Tutar;Kdv Li Net Satış Dövizli Tutar;Birim Fiyat;İade Birim Fiyat
2025;;AdaHome Puf Ayaklı Özel Tasarım;;;AdaHome Puf Ayaklı Özel Tasarım;;AYAKLI PUF;1,00;0;1,00;1,00;1.500,40;0;0;0;1.500,40;0;1.364,00;0
2025;;AdaHome Puf Yılbaşı;;;AdaHome Puf Yılbaşı;;AYAKSIZ PUF;0;8,00;-8,00;-8,00;0;0;8.316,00;0;-8.316,00;0;0;3.780,00
2025;;AdaPanel PS Panel 200 serisi (18 li Paket);;;AdaPanel PS Panel 200 serisi (18 li Paket);;APS200;1,00;0;1,00;2,80;3.565,13;0;0;0;3.565,13;0;2.970,94;0
2025;;AdaPanel PS Panel 200 serisi (Özel Üretim);;;AdaPanel PS Panel 200 serisi (Özel Üretim);;APS200;8,40;0;8,40;8,40;0;0;0;0;0;0;0;0
2025;;Adapanel PS Panel Katalog;;;AdaPanel Ps Katalog;;01 PANEL KATALOGLAR;2,00;0;2,00;2,00;720,00;0;0;0;720,00;0;300,00;0
2025;;Adawall Duvar Kağıdı;;;10.0 MTR;;08 ADAKIDS;14,00;0;14,00;14,00;12.682,84;0;0;0;12.682,84;0;5.281,13;0
2025;;Adawall Duvar Kağıdı;;;10.0 MTR;;12 OCTAGON;121,00;0;121,00;121,00;110.041,00;0;0;0;110.041,00;0;3.011,22;0
2025;;Adawall Duvar Kağıdı;;;10.0 MTR;;14 DANTE;5,00;0;5,00;5,00;4.575,37;0;0;0;4.575,37;0;762,56;0
2025;;Adawall Duvar Kağıdı;;;10.0 MTR;;98 EPHES;10,00;0;10,00;10,00;8.873,52;0;0;0;8.873,52;0;2.961,72;0
2025;;Adawall Duvar Kağıdı;;;15.6 MTR;;03 ALFA;37,00;0;37,00;37,00;33.314,91;0;0;0;33.314,91;0;6.760,88;0
2025;;Adawall Duvar Kağıdı;;;15.6 MTR;;07 SEVEN;17,00;0;17,00;17,00;14.397,01;0;0;0;14.397,01;0;705,74;0
