;;;;;;;;;;;;;;;;;;;
Satış Performans Raporu;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Veri parametreleri:;;;Başlangıç Tarihi: 01.02.2025 00:00:00;;;;;;;;;;;;;;;;
;;;Bitiş Tarihi: 28.02.2025 00:00:00;;;;;;;;;;;;;;;;
Filtre:;;;"Cari Hesap Eşittir ""DECOBEE YAPI LİMİTED ŞİRKETİ""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Fatura Tarihi.Yıl;;Malzeme Grubu;;;;Kategori;Malzeme Grubu;Toplam;;;;;;;;;;;
;;;;;;;;Miktar;;;;Satış Tutarı;;;;;;Birim Fiyat;
;;;;;;;;Miktar;;;;Satış Tutarı;;;;;;Birim Fiyat;
;;;;;;;;Satış Miktar;İade Miktar;Net Satış Miktar;Net Satış Miktarı (Metre);Kdv Li Satış Tutar;Kdv Li Satış Dövizli Tutar;Kdv Li İade Tutar;Kdv Li İade Dövizli Tutar;Kdv Li Net Satış Tutar;Kdv Li Net Satış Dövizli Tutar;Birim Fiyat;İade Birim Fiyat
2025;;AdaPanel PS Panel 800 serisi (6 lı Paket);;;;AdaPanel PS Panel 800 serisi (6 lı Paket);APS800;3,00;0;3,00;3,00;3.630,98;0;0;0;3.630,98;0;2.016,95;0
2025;;AdaPanel PS Panel Kapama 100 serisi (16 lı Paket);;;;AdaPanel PS Panel Kapama 100 serisi (16 lı Paket);APSK100;1,00;0;1,00;1,00;1.727,09;0;0;0;1.727,09;0;1.439,24;0
2025;;Adapanel PS Panel Katalog;;;;AdaPanel Ps Katalog;01 PANEL KATALOGLAR;7,00;0;7,00;7,00;2.520,00;0;0;0;2.520,00;0;900,00;0
2025;;Adawall Duvar Kağ. Katalog;;;;Duvar Kağıdı Katalog;01 ADAWALL KATALOG;5,00;0;5,00;5,00;4.920,00;0;0;0;4.920,00;0;4.100,00;0
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;05 KALINKA;5,00;0;5,00;5,00;3.009,50;0;0;0;3.009,50;0;1.003,17;0
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;08 ADAKIDS;5,00;2,00;3,00;3,00;4.554,92;0;1.819,04;0;2.735,88;0;3.037,83;757,94
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;10 SIGNATURE;1,00;0;1,00;1,00;605,21;0;0;0;605,21;0;504,34;0
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;12 OCTAGON;8,00;0;8,00;8,00;7.319,86;0;0;0;7.319,86;0;2.275,61;0
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;14 DANTE;14,00;0;14,00;14,00;12.838,19;0;0;0;12.838,19;0;3.820,06;0
2025;;Adawall Duvar Kağıdı;;;;10.0 MTR;98 EPHES;26,00;0;26,00;26,00;23.507,89;0;0;0;23.507,89;0;3.772,54;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;03 ALFA;33,00;0;33,00;33,00;29.970,86;0;0;0;29.970,86;0;7.579,14;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;07 SEVEN;75,00;0;75,00;75,00;68.452,09;0;0;0;68.452,09;0;10.646,69;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;09 TROPICANO;2,00;0;2,00;2,00;1.825,64;0;0;0;1.825,64;0;1.521,36;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;11 BETA;22,00;0;22,00;22,00;20.059,53;0;0;0;20.059,53;0;5.321,71;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;15 VERA;235,00;0;235,00;235,00;214.159,29;0;0;0;214.159,29;0;34.124,03;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;16 ROKA;110,00;0;110,00;110,00;100.381,61;0;0;0;100.381,61;0;25.083,22;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;17 OMEGA;47,00;0;47,00;47,00;42.714,14;0;0;0;42.714,14;0;14.410,25;0
2025;;Adawall Duvar Kağıdı;;;;15.6 MTR;19 HUE;1,00;0;1,00;1,00;863,28;0;0;0;863,28;0;719,40;0
2025;;Adawall Duvar Kağıdı;;;;Açık Metre;99 ÖZEL ÜRETİMLER (OEM);0;1,00;-1,00;-1,00;0;0;911,51;0;-911,51;0;0;759,59
2025;;AdaWall Katalog Poster Ürünü NW;;;;AdaWall Katalog Poster Ürünü NW;FIJI POSTER;4,66;0;4,66;4,66;1.539,24;0;0;0;1.539,24;0;550,51;0
2025;;AdaWall Katalog Poster Ürünü TEKSTİL;;;;AdaWall Katalog Poster Ürünü TEKSTİL;SEASONS POSTER TEKS;5,71;0;5,71;5,71;1.881,68;0;0;0;1.881,68;0;274,62;0
Toplam;;;;;;;;878,17;3,00;875,17;932,77;750.110,89;0;2.730,55;0;747.380,34;0;178.718,74;1.517,53
